,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1320_2,0,1,11,1,4,3,3,6,15,9,1,8,10,18,5,2,3,4,15,8,7,12,1,10,4,9,10,6,13,1,5,5,8,4,8,0,10,4,13,16,0,1,20,6,9,9,5,4,14,2
1320_5,0,1,0,4,0,1,0,1,2,2,2,1,0,3,4,1,9,5,1,0,2,1,3,1,1,3,7,4,1,0,0,1,2,0,1,0,3,8,4,5,0,3,2,0,0,3,0,0,2,1
1491_3,33,46,68,29,9,18,43,79,34,36,22,25,53,43,41,69,43,48,64,26,44,12,51,38,34,57,39,36,91,18,45,86,38,22,26,70,67,43,65,22,22,28,53,18,11,63,59,14,61,28
1491_1,53,41,85,57,37,21,70,108,112,85,31,66,75,82,48,73,42,78,103,61,74,11,67,73,71,89,51,57,108,26,90,83,75,25,76,68,84,47,76,16,41,59,76,24,13,77,114,31,92,34
1491_8,0,1,5,11,1,1,4,2,11,6,2,2,5,11,7,4,3,2,6,2,6,6,3,13,6,12,3,4,10,6,5,1,5,3,15,0,12,1,4,2,0,9,10,9,5,16,7,0,10,2
1491_9,3,3,13,5,7,3,8,5,19,7,4,1,6,12,6,4,7,5,7,10,9,8,3,11,7,11,5,16,8,4,7,6,11,2,8,1,8,8,8,3,2,5,14,13,5,10,11,3,17,2
2139_14,11,14,24,19,15,31,8,18,8,15,20,7,11,7,19,28,18,15,14,11,3,57,14,16,7,17,44,23,10,17,8,28,11,4,32,20,5,25,18,13,58,9,12,11,4,14,8,15,60,38
1553_2,6,0,9,6,9,31,4,10,4,7,1,5,2,5,3,2,9,8,8,5,2,2,7,5,6,10,5,3,7,0,3,5,6,7,9,21,3,10,4,16,42,2,9,3,6,9,8,1,3,1
568_3,0,5,3,9,7,4,1,6,5,5,0,1,6,5,3,0,4,3,6,3,0,7,4,4,2,9,3,14,0,3,6,2,1,5,14,0,5,1,5,4,3,1,5,1,4,12,7,5,5,2
568_2,3,0,5,21,15,19,4,6,10,6,2,2,3,4,2,0,2,3,3,1,4,23,5,4,4,8,5,21,5,0,3,0,2,1,13,4,2,2,1,5,0,21,8,2,1,5,4,1,6,1
1185_1,5,5,6,1,3,2,2,1,1,2,3,2,4,3,4,2,11,3,3,3,1,3,2,3,1,8,12,5,4,2,2,4,3,1,3,0,1,11,5,1,1,1,6,4,1,15,1,1,4,2
1185_2,25,0,2,1,0,1,1,1,0,1,1,1,2,2,2,0,8,1,4,2,1,12,1,2,0,3,3,2,2,1,4,1,1,2,6,0,2,6,1,0,1,1,5,6,0,4,1,0,0,0
568_1,1,1,4,15,9,11,4,2,13,7,0,1,4,5,1,4,1,3,2,6,4,8,6,11,1,5,2,15,2,0,6,1,5,3,15,7,1,3,3,9,2,19,6,12,1,7,1,2,2,0
724_1,77,7,4,59,15,19,12,32,14,12,20,4,17,13,1,11,4,23,10,2,5,37,11,12,20,3,3,19,15,10,12,10,5,21,6,25,12,3,3,2,23,74,16,22,22,7,15,3,7,3
1663_2,0,2,0,0,4,1,1,0,0,1,1,2,1,3,2,0,0,0,2,1,0,3,1,0,0,3,0,0,3,0,0,0,0,1,0,1,1,1,1,0,1,5,2,2,0,1,1,0,4,1
1663_1,0,0,2,0,6,5,1,4,2,0,1,0,0,0,0,0,0,1,3,3,3,0,2,2,4,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,3,3,5,4,1,2,3,0,5
